neighborhood,sqft_living,area_unit,lot_size_sqft,bedrooms,bathrooms,floors,year_built,renovated,condition,grade,garage,basement,pool,school_score,sale_price
Brookhaven,1739.0,sqft,2916.0,3,2.5,3.0,2008.0,No,3,10,Y,Y,N,5.0,$405.0K
Cedar Falls,1786.0,sqft,5634.0,1,1.0,1.0,1975.0,No,4,3,Y,N,N,6.0,202500.0
Northgate,1857.0,sqft,6316.0,3,2.5,2.0,1964.0,Yes,3,5,N,N,N,9.0,$188.6K
Old Mill District,2329.0,sqft,4264.0,5,2.5,2.0,2000.0,No,4,3,Y,Y,N,5.0,551300.0
Riverside Park,2274.0,sqft,4164.0,3,1.5,2.0,1992.0,No,4,3,N,Y,N,8.0,373600.0
Sunridge,2593.0,sqft,5329.0,3,2.5,1.0,2001.0,No,3,10,Y,Y,N,5.0,$309.4K
Riverside Park,2967.0,sqft,9215.0,5,4.0,2.5,1972.0,Yes,3,3,N,N,N,3.0,464100.0
Old Mill District,2271.0,sqft,7932.0,2,1.5,2.0,2020.0,No,4,3,Y,N,N,3.0,$559.8K
Cedar Falls,1305.0,sqft,2088.0,1,1.0,1.0,1967.0,No,4,9,Y,,N,8.0,152200.0
Cedar Falls,2436.0,sqft,8655.0,3,2.0,1.0,1991.0,No,4,3,Y,N,N,5.0,$360.7K
Riverside Park,500.0,sqft,800.0,1,1.0,1.0,1956.0,Yes,3,5,N,N,N,5.0,$74.9K
Riverside Park,1104.0,sqft,1884.0,1,1.0,2.0,1922.0,Yes,5,3,Y,N,N,,$172.6K
Maple Grove,664.0,sqft,1195.0,1,1.0,1.0,1952.0,No,4,7,N,N,N,3.0,76900.0
Sunridge,2431.0,sqft,3018.0,3,2.0,1.0,1992.0,No,3,6,N,N,Y,6.0,$238.5K
Riverside Park,1907.0,sqft,4360.0,5,3.0,2.5,1937.0,No,4,6,Y,N,N,5.0,$226.8K
Brookhaven,1897.0,sqft,3929.0,3,2.0,2.0,1945.0,Yes,4,7,Y,N,N,6.0,353900.0
Sunridge,2173.0,sqft,3596.0,2,1.5,1.0,1992.0,Yes,4,3,Y,,N,,198300.0
Maple Grove,99.1,sqm,3690.0,2,2.0,1.0,1937.0,No,3,10,Y,Y,N,10.0,$155.4K
Cedar Falls,834.0,sqft,1730.0,2,1.0,1.0,1976.0,Yes,2,4,Y,N,N,6.0,$107.4K
Old Mill District,989.0,sqft,2729.0,2,1.5,2.0,1991.0,Yes,1,5,N,Y,N,5.0,$230.9K
Riverside Park,1215.0,sqft,3077.0,2,1.0,1.0,1963.0,No,3,5,N,Y,N,5.0,$194.9K
Riverside Park,850.0,sqft,3289.0,1,1.0,2.5,1935.0,No,3,4,N,Y,N,5.0,99200.0
Sunridge,500.0,sqft,1453.0,1,1.0,1.0,1988.0,Yes,4,10,Y,Y,N,10.0,$61.7K
Old Mill District,1671.0,sqft,2468.0,3,2.0,2.5,2001.0,No,3,8,Y,N,N,6.0,$352.3K
Maple Grove,1413.0,sqft,1706.0,2,1.0,2.0,1920.0,No,1,5,Y,N,N,7.0,182500.0
Brookhaven,1506.0,sqft,2119.0,2,2.5,2.0,2013.0,No,3,9,N,Y,N,8.0,$302.5K
Old Mill District,260.4,sqm,6013.0,3,2.5,1.0,1920.0,No,1,8,N,N,N,8.0,$502.7K
Northgate,197.0,sqm,4777.0,3,3.0,3.0,1932.0,Yes,3,3,Y,,N,,195700.0
Maple Grove,129.3,sqm,2402.0,2,2.0,2.0,1982.0,Yes,5,8,N,Y,N,5.0,222200.0
Harbor Point,1082.0,sqft,1679.0,2,1.5,2.5,2009.0,Yes,4,5,N,Y,N,2.0,326600.0
Old Mill District,1207.0,sqft,3164.0,3,2.5,1.0,2010.0,Yes,3,7,N,N,N,7.0,343400.0
Sunridge,3015.0,sqft,8058.0,4,2.0,1.0,1974.0,Yes,2,3,Y,N,N,5.0,$314.4K
Harbor Point,3829.0,sqft,14560.0,5,3.0,2.0,2016.0,No,1,10,Y,N,N,7.0,1511800.0
Northgate,1379.0,sqft,3817.0,2,2.0,2.0,1998.0,No,4,6,Y,N,N,5.0,$136.6K
Northgate,2293.0,sqft,5949.0,4,3.5,1.0,2002.0,No,3,5,N,N,N,6.0,208200.0
Harbor Point,1976.0,sqft,6891.0,3,2.0,2.0,2009.0,No,2,7,Y,N,N,7.0,$620.7K
Riverside Park,1775.0,sqft,,2,1.0,2.0,1961.0,No,3,4,N,N,N,6.0,$248.7K
Cedar Falls,1811.0,sqft,3743.0,2,2.0,1.0,2018.0,No,2,3,Y,,N,8.0,$278.8K
Riverside Park,1069.0,sqft,1294.0,2,1.5,2.0,1964.0,Yes,5,4,N,N,N,5.0,157500.0
Cedar Falls,2523.0,sqft,3281.0,2,2.5,1.0,2015.0,No,5,5,N,Y,N,6.0,$371.5K
Maple Grove,655.0,sqft,1999.0,1,1.5,1.0,1985.0,No,3,10,Y,Y,N,3.0,99000.0
Cedar Falls,2378.0,sqft,6076.0,4,2.5,2.5,1938.0,Yes,4,10,Y,Y,N,6.0,343200.0
Northgate,958.0,sqft,3698.0,1,1.0,2.5,1946.0,Yes,4,9,N,Y,Y,5.0,79100.0
Harbor Point,85.6,sqm,1323.0,1,1.0,2.0,1963.0,Yes,3,9,N,Y,Y,5.0,313000.0
Harbor Point,1695.0,sqft,4313.0,2,1.0,3.0,1997.0,No,2,8,Y,Y,N,5.0,$528.9K
Sunridge,1679.0,sqft,4452.0,3,2.0,2.0,2004.0,No,3,4,N,N,N,5.0,178600.0
Cedar Falls,2164.0,sqft,7257.0,3,2.0,1.0,2016.0,No,4,6,Y,,N,6.0,$312.1K
Old Mill District,2554.0,sqft,9747.0,5,3.5,1.5,1960.0,No,4,6,N,Y,N,,$512.7K
Maple Grove,2400.0,sqft,7475.0,5,3.0,1.0,1968.0,No,2,4,Y,Y,N,3.0,$254.7K
Maple Grove,1704.0,sqft,5532.0,3,3.0,1.0,1971.0,No,5,5,N,Y,N,6.0,227100.0
Cedar Falls,1361.0,sqft,5289.0,2,2.5,1.5,1951.0,No,4,10,Y,Y,Y,10.0,$243.8K
Riverside Park,783.0,sqft,2330.0,1,1.0,3.0,1928.0,No,3,10,Y,N,N,7.0,$117.9K
Sunridge,155.5,sqm,3093.0,2,1.5,2.5,2004.0,No,3,9,Y,N,N,8.0,193300.0
Old Mill District,1637.0,sqft,2987.0,4,3.5,1.0,1931.0,Yes,2,4,N,Y,N,7.0,$379.2K
Sunridge,1413.0,sqft,,2,1.0,2.5,1930.0,No,3,4,N,N,N,5.0,117600.0
Maple Grove,2315.0,sqft,6698.0,4,2.5,2.0,2001.0,No,4,6,Y,N,N,8.0,383000.0
Maple Grove,3542.0,sqft,5995.0,6,4.5,2.0,1965.0,No,1,6,Y,Y,Y,5.0,449900.0
Sunridge,2478.0,sqft,8364.0,4,3.0,1.0,1952.0,No,3,8,Y,Y,N,7.0,243400.0
Sunridge,1525.0,sqft,,2,2.5,2.5,1922.0,No,2,3,Y,N,N,6.0,138100.0
Old Mill District,1494.0,sqft,5559.0,3,2.0,1.0,2015.0,No,3,9,Y,Y,N,8.0,$471.7K
Maple Grove,1494.0,sqft,3195.0,2,1.0,2.0,1980.0,No,3,9,Y,Y,N,9.0,$218.4K
Sunridge,1405.0,sqft,5375.0,1,1.0,3.0,1935.0,No,2,4,Y,N,N,4.0,119900.0
Brookhaven,1248.0,sqft,2298.0,2,1.5,2.0,1950.0,Yes,4,8,Y,N,N,6.0,270600.0
Brookhaven,2537.0,sqft,6099.0,4,3.0,2.0,1952.0,No,3,7,N,Y,N,7.0,$419.3K
Brookhaven,1302.0,sqft,4204.0,2,1.5,1.0,1993.0,No,3,7,Y,Y,N,6.0,$289.6K
Northgate,1114.0,sqft,4131.0,1,1.0,2.0,2005.0,No,3,8,N,Y,N,8.0,$111.4K
Cedar Falls,1249.0,sqft,3088.0,2,1.0,1.0,1992.0,No,4,3,Y,Y,N,4.0,176200.0
Cedar Falls,1699.0,sqft,6082.0,3,2.0,1.0,1922.0,No,3,4,Y,N,N,6.0,$188.4K
Sunridge,1891.0,sqft,4794.0,2,2.0,2.0,1952.0,Yes,4,10,Y,N,N,7.0,200200.0
Northgate,500.0,sqft,1723.0,1,1.0,2.0,1934.0,No,3,8,Y,N,N,6.0,$45.0K
Sunridge,1802.0,sqft,4125.0,4,3.0,3.0,1995.0,No,5,10,Y,,N,8.0,$200.2K
Riverside Park,1832.0,sqft,7011.0,3,2.5,3.0,2010.0,No,4,10,Y,N,N,5.0,283600.0
Harbor Point,1967.0,sqft,7560.0,4,3.0,2.0,1933.0,No,5,10,Y,Y,N,8.0,548400.0
Riverside Park,1567.0,sqft,2543.0,2,1.0,1.0,1954.0,No,3,3,N,N,N,4.0,198500.0
Sunridge,158.2,sqm,4633.0,3,2.5,1.0,1956.0,No,5,9,Y,N,N,3.0,153300.0
Harbor Point,1473.0,sqft,2957.0,3,2.0,2.0,2020.0,No,4,6,Y,N,N,,509400.0
Northgate,2297.0,sqft,8781.0,4,3.0,3.0,2005.0,No,5,5,Y,N,N,9.0,$203.0K
Northgate,1589.0,sqft,4625.0,2,1.5,1.5,1933.0,Yes,2,5,Y,N,N,4.0,$109.5K
Harbor Point,1513.0,sqft,3572.0,2,1.0,1.0,2017.0,No,3,5,Y,Y,N,10.0,612500.0
Northgate,107.9,sqm,2417.0,2,1.5,1.0,1990.0,No,4,9,Y,N,N,8.0,107500.0
Riverside Park,1572.0,sqft,2930.0,2,1.0,2.5,1981.0,Yes,4,7,Y,,N,5.0,245800.0
Cedar Falls,184.0,sqm,4873.0,4,4.0,1.5,,Yes,3,7,Y,N,N,4.0,291200.0
Brookhaven,243.7,sqm,3714.0,3,2.5,1.5,1977.0,Yes,2,10,Y,Y,N,3.0,525700.0
Maple Grove,2130.0,sqft,5412.0,3,3.0,1.0,1956.0,Yes,2,8,Y,Y,Y,9.0,$348.6K
Old Mill District,172.3,sqm,3266.0,2,1.5,2.5,1943.0,Yes,3,9,Y,Y,N,,$466.9K
Cedar Falls,544.0,sqft,1852.0,1,1.5,2.5,2012.0,No,3,10,Y,N,N,7.0,$87.5K
Cedar Falls,2260.0,sqft,5227.0,3,2.5,1.0,2009.0,No,3,7,Y,N,N,3.0,$297.6K
Brookhaven,3138.0,sqft,10227.0,6,4.5,1.0,1957.0,Yes,3,3,Y,N,N,8.0,$576.0K
Old Mill District,2886.0,sqft,10632.0,4,3.0,2.0,1936.0,No,4,9,Y,Y,N,6.0,583300.0
Brookhaven,1400.0,sqft,5576.0,3,3.0,2.0,1939.0,No,4,7,N,Y,N,6.0,232500.0
Northgate,285.0,sqm,5830.0,5,3.5,2.0,1944.0,Yes,2,8,Y,Y,N,10.0,270500.0
Riverside Park,1439.0,sqft,2882.0,3,2.5,2.0,1987.0,Yes,2,8,Y,Y,N,4.0,$246.7K
Sunridge,1736.0,sqft,3572.0,3,3.0,2.0,1933.0,Yes,5,9,N,N,N,9.0,$192.2K
Old Mill District,219.1,sqm,6060.0,3,3.0,2.5,2021.0,No,3,8,N,N,N,6.0,$604.5K
Sunridge,238.8,sqm,5991.0,3,2.0,1.0,1921.0,Yes,3,4,Y,N,N,7.0,210400.0
Old Mill District,2047.0,sqft,4409.0,3,2.0,2.5,2014.0,No,5,10,Y,Y,N,7.0,$452.5K
Northgate,2556.0,sqft,4364.0,4,3.0,2.0,1942.0,No,4,4,Y,N,Y,5.0,$193.4K
Brookhaven,1499.0,sqft,3976.0,2,2.0,1.0,2010.0,No,5,9,Y,N,N,7.0,369600.0
Cedar Falls,2422.0,sqft,3780.0,3,2.0,1.0,1937.0,No,3,4,Y,N,N,7.0,$250.8K
Sunridge,2104.0,sqft,6684.0,3,2.5,1.0,,No,3,6,N,N,N,4.0,177200.0
Northgate,1748.0,sqft,2942.0,4,2.5,2.0,1979.0,No,3,3,Y,Y,N,5.0,149800.0
Cedar Falls,1935.0,sqft,6740.0,3,3.5,1.0,1976.0,Yes,2,8,Y,N,N,4.0,$265.7K
Riverside Park,1481.0,sqft,3910.0,3,1.5,1.0,1994.0,No,4,5,Y,Y,Y,7.0,289400.0
Old Mill District,2208.0,sqft,6007.0,3,2.5,1.5,1954.0,No,1,3,Y,Y,N,6.0,$429.3K
Sunridge,1571.0,sqft,3460.0,2,1.5,1.5,1950.0,Yes,1,3,Y,Y,N,10.0,150500.0
Brookhaven,2991.0,sqft,4627.0,4,2.5,2.0,1927.0,No,3,10,N,Y,Y,6.0,592200.0
Northgate,500.0,sqft,1346.0,1,1.0,2.0,1921.0,No,4,9,Y,N,Y,5.0,45000
Northgate,1048.0,sqft,2036.0,1,1.0,1.5,,No,3,4,Y,N,Y,6.0,$100.7K
Northgate,2602.0,sqft,7331.0,4,3.5,2.0,2000.0,No,3,7,Y,,N,5.0,$231.2K
Riverside Park,2950.0,sqft,9287.0,5,4.5,1.0,1946.0,Yes,5,8,Y,Y,N,7.0,558700.0
Northgate,1071.0,sqft,2916.0,2,1.5,1.0,1981.0,No,3,8,Y,N,N,1.0,77400.0
Harbor Point,1486.0,sqft,3173.0,3,2.5,2.0,1947.0,No,3,6,Y,N,N,5.0,$408.2K
Maple Grove,3000.0,sqft,11168.0,5,3.5,1.0,1963.0,No,3,8,Y,N,N,6.0,$346.5K
Harbor Point,1714.0,sqft,3943.0,2,1.5,1.0,1949.0,Yes,4,7,N,Y,N,6.0,$426.6K
Sunridge,1099.0,sqft,3392.0,2,1.0,1.0,1955.0,No,3,5,Y,N,N,6.0,88100.0
Harbor Point,1076.0,sqft,4038.0,1,1.0,1.0,1930.0,No,4,6,Y,N,N,4.0,$251.5K
Northgate,114.9,sqm,2222.0,1,1.0,2.0,1978.0,Yes,5,10,Y,Y,N,7.0,123300.0
Maple Grove,109.6,sqm,3628.0,2,1.5,2.0,1969.0,Yes,3,3,N,N,N,7.0,150400.0
Brookhaven,572.0,sqft,1005.0,1,1.5,2.0,2007.0,No,4,4,Y,Y,N,7.0,119700.0
Cedar Falls,2067.0,sqft,7003.0,4,3.0,1.0,1995.0,No,2,6,Y,N,N,4.0,$302.9K
Maple Grove,128.0,sqm,4427.0,2,2.5,1.0,2010.0,No,4,4,Y,Y,N,7.0,$206.0K
Old Mill District,1860.0,sqft,7254.0,2,1.0,2.5,2011.0,No,4,5,Y,N,N,6.0,$517.7K
Sunridge,1929.0,sqft,6959.0,4,2.5,2.0,1952.0,No,4,5,Y,Y,N,7.0,$197.6K
Northgate,1522.0,sqft,2117.0,3,2.0,1.0,1984.0,No,3,4,Y,N,N,7.0,$129.3K
Brookhaven,2323.0,sqft,6235.0,4,2.5,2.0,2018.0,Yes,4,8,N,Y,N,6.0,$549.8K
Old Mill District,2555.0,sqft,6567.0,5,4.0,1.0,1971.0,No,4,9,N,N,N,9.0,$622.6K
Sunridge,3036.0,sqft,11576.0,5,4.5,2.0,2020.0,No,3,10,Y,,N,6.0,366400.0
Brookhaven,92.3,sqm,1698.0,1,1.0,1.0,2011.0,No,3,7,N,N,N,6.0,207900.0
Northgate,2142.0,sqft,5286.0,5,3.5,2.0,1986.0,Yes,2,9,Y,Y,N,3.0,$239.1K
Cedar Falls,721.0,sqft,1939.0,2,3.5,1.5,1995.0,No,4,7,Y,Y,Y,4.0,$121.3K
Sunridge,1118.0,sqft,1463.0,1,1.0,2.0,1959.0,No,4,7,Y,Y,N,4.0,$105.7K
Northgate,2042.0,sqft,5874.0,3,2.0,1.0,1957.0,Yes,3,5,N,Y,N,4.0,$159.7K
Cedar Falls,1414.0,sqft,3300.0,1,1.0,2.5,1984.0,No,3,5,N,N,N,9.0,168500.0
Northgate,201.1,sqm,7153.0,3,1.5,1.5,1967.0,No,4,8,N,N,N,6.0,183000.0
Maple Grove,997.0,sqft,3215.0,1,1.0,1.0,2023.0,No,2,6,Y,Y,N,6.0,$180.8K
Harbor Point,1761.0,sqft,5842.0,3,2.5,1.0,1924.0,Yes,4,6,Y,Y,N,5.0,425800.0
Maple Grove,2791.0,sqft,10701.0,5,4.5,1.0,2000.0,Yes,3,9,N,N,N,,$435.0K
Old Mill District,823.0,sqft,1422.0,1,1.0,3.0,1990.0,No,3,5,Y,,Y,5.0,253700.0
Sunridge,147.3,sqm,6303.0,2,1.5,1.0,1956.0,No,4,3,N,,N,5.0,$137.3K
Riverside Park,2334.0,sqft,6622.0,5,4.0,1.5,1982.0,Yes,4,5,Y,N,N,3.0,$390.8K
Riverside Park,1968.0,sqft,4116.0,4,3.0,2.0,2000.0,No,4,5,N,N,Y,4.0,326900.0
Brookhaven,2261.0,sqft,7165.0,3,2.0,1.0,1940.0,No,4,6,Y,N,N,6.0,419700.0
Riverside Park,1996.0,sqft,4832.0,3,1.5,1.0,2002.0,No,4,8,Y,Y,N,4.0,388400.0
Cedar Falls,1651.0,sqft,6150.0,3,1.5,2.0,2009.0,No,4,10,Y,Y,N,6.0,$325.3K
Old Mill District,1976.0,sqft,4514.0,2,2.5,2.0,1971.0,Yes,3,10,Y,N,N,4.0,$545.9K
Riverside Park,2396.0,sqft,5756.0,2,2.0,2.0,2022.0,No,4,5,Y,Y,N,6.0,511400.0
Northgate,1570.0,sqft,2249.0,2,1.5,1.0,1951.0,Yes,4,4,Y,N,N,8.0,$130.5K
Maple Grove,749.0,sqft,1217.0,1,1.0,1.5,1994.0,Yes,3,9,Y,N,N,5.0,$137.9K
Brookhaven,849.0,sqft,3350.0,1,1.0,1.0,1994.0,No,2,6,Y,N,N,4.0,166800.0
Brookhaven,1554.0,sqft,6001.0,3,2.0,2.5,2001.0,No,3,5,N,N,N,10.0,$340.7K
Cedar Falls,63.5,sqm,2070.0,1,1.0,1.5,1935.0,Yes,2,7,Y,N,N,5.0,79900.0
Cedar Falls,188.0,sqm,6018.0,3,3.5,1.0,1960.0,No,2,4,Y,N,N,5.0,$215.0K
Maple Grove,224.5,sqm,6391.0,5,4.0,1.0,1991.0,Yes,1,8,N,N,N,5.0,$376.3K
Sunridge,2118.0,sqft,6591.0,4,2.5,2.0,1966.0,Yes,3,8,N,N,N,5.0,193700.0
Sunridge,1862.0,sqft,6198.0,3,2.5,3.0,1928.0,No,1,9,N,Y,N,3.0,167300.0
Old Mill District,1915.0,sqft,3209.0,3,2.5,2.5,1971.0,Yes,2,4,N,Y,N,5.0,445200.0
Maple Grove,87.4,sqm,1856.0,1,1.0,2.0,2018.0,No,5,8,Y,N,N,6.0,161400.0
Old Mill District,2085.0,sqft,3683.0,3,2.5,2.0,2023.0,No,4,10,Y,Y,N,7.0,701000.0
Old Mill District,1057.0,sqft,3265.0,2,2.0,2.0,1939.0,No,5,7,Y,Y,N,6.0,217800.0
Riverside Park,2087.0,sqft,5783.0,3,2.0,2.0,1936.0,Yes,3,5,Y,N,N,9.0,237600.0
Sunridge,1550.0,sqft,2536.0,3,1.5,2.5,1963.0,No,3,9,Y,Y,N,10.0,155100.0
Sunridge,2146.0,sqft,3607.0,5,4.5,2.5,1956.0,Yes,3,10,Y,N,N,5.0,$208.0K
Cedar Falls,807.0,sqft,2730.0,1,1.0,1.5,1928.0,No,3,5,Y,Y,N,6.0,$91.2K
Sunridge,1870.0,sqft,2529.0,2,1.5,1.0,1976.0,Yes,4,5,Y,N,N,7.0,182400.0
Northgate,2037.0,sqft,5819.0,3,2.5,3.0,1941.0,No,4,10,N,Y,N,6.0,$155.3K
Northgate,1755.0,sqft,3264.0,3,2.5,2.5,1950.0,No,3,10,N,Y,N,8.0,$143.2K
Maple Grove,1488.0,sqft,5296.0,2,1.5,1.0,1976.0,No,2,5,Y,N,N,6.0,191000.0
Harbor Point,1446.0,sqft,5281.0,2,1.0,1.0,1929.0,No,2,9,Y,N,N,5.0,$300.6K
Cedar Falls,891.0,sqft,1608.0,1,1.5,2.0,1996.0,No,4,9,Y,N,N,5.0,132800.0
Northgate,2207.0,sqft,5351.0,3,1.5,1.0,2021.0,No,4,5,Y,N,N,6.0,$204.2K
Riverside Park,1206.0,sqft,4438.0,1,1.0,2.0,1928.0,No,5,4,Y,Y,N,5.0,168300.0
Harbor Point,1589.0,sqft,2368.0,2,1.5,2.0,1972.0,Yes,4,10,Y,N,Y,6.0,$552.9K
Cedar Falls,1293.0,sqft,2669.0,3,2.0,2.0,1959.0,No,4,4,Y,Y,N,4.0,146000.0
Old Mill District,3077.0,sqft,7057.0,5,4.0,2.0,1979.0,No,3,7,Y,Y,N,6.0,$743.8K
Cedar Falls,1277.0,sqft,2231.0,2,1.0,3.0,2017.0,No,4,8,Y,Y,N,7.0,190800.0
Northgate,3051.0,sqft,5026.0,5,4.5,2.0,1961.0,Yes,2,8,Y,N,N,6.0,315600.0
Maple Grove,2951.0,sqft,11447.0,5,3.5,1.5,1985.0,No,5,4,Y,Y,N,6.0,$430.3K
Northgate,149.9,sqm,2820.0,2,2.0,1.0,2019.0,No,3,9,Y,N,N,7.0,172200.0
Harbor Point,2010.0,sqft,3952.0,3,3.0,1.0,1980.0,No,5,9,Y,N,Y,7.0,$624.9K
Riverside Park,1673.0,sqft,3524.0,3,2.0,2.5,1985.0,Yes,2,4,Y,Y,N,2.0,$287.5K
Cedar Falls,152.7,sqm,6337.0,3,1.5,1.0,1940.0,No,4,3,Y,Y,N,8.0,$187.2K
Cedar Falls,1959.0,sqft,5680.0,3,2.5,1.0,1923.0,Yes,4,8,N,Y,Y,6.0,$223.7K
Brookhaven,1593.0,sqft,4769.0,3,2.5,3.0,1950.0,Yes,3,3,Y,N,N,5.0,267900.0
Maple Grove,1180.0,sqft,2678.0,1,1.0,1.0,2015.0,No,4,5,Y,N,N,5.0,184900.0
Old Mill District,244.1,sqm,5324.0,4,3.0,3.0,1961.0,Yes,2,6,Y,Y,N,,$587.0K
Maple Grove,2165.0,sqft,8625.0,4,2.5,1.0,1996.0,No,2,8,Y,N,N,6.0,$391.6K
Cedar Falls,2263.0,sqft,3544.0,3,2.0,3.0,1955.0,No,3,10,Y,Y,N,7.0,304900.0
Old Mill District,1863.0,sqft,2796.0,3,2.0,2.0,1934.0,No,1,5,Y,Y,N,7.0,338800.0
Riverside Park,107.1,sqm,3012.0,3,2.0,2.0,1996.0,No,4,3,Y,Y,N,6.0,214800.0
Old Mill District,2439.0,sqft,6741.0,4,2.5,2.0,1975.0,Yes,4,3,Y,N,N,3.0,541500.0
Riverside Park,1732.0,sqft,3081.0,2,2.5,2.5,1923.0,Yes,3,5,Y,Y,N,7.0,291600.0
Cedar Falls,275.3,sqm,4673.0,5,4.0,1.0,1949.0,Yes,2,4,N,Y,N,1.0,$347.7K
Harbor Point,1631.0,sqft,4402.0,2,1.0,1.0,1943.0,No,4,4,Y,Y,N,6.0,$394.4K
Northgate,2405.0,sqft,6693.0,4,2.5,1.0,1933.0,No,3,7,Y,Y,N,6.0,$169.2K
Riverside Park,1673.0,sqft,5754.0,3,2.0,1.0,1957.0,Yes,4,5,N,N,N,7.0,289100.0
Old Mill District,2777.0,sqft,9764.0,4,2.0,2.0,2008.0,No,4,7,N,Y,N,,734900.0
Brookhaven,2029.0,sqft,6422.0,3,2.5,2.0,2012.0,No,3,10,Y,N,N,9.0,463900.0
Northgate,2232.0,sqft,3798.0,5,3.0,1.0,2012.0,Yes,2,8,Y,N,N,9.0,229600.0
Old Mill District,1269.0,sqft,4234.0,1,1.0,1.5,1953.0,No,4,5,Y,Y,N,6.0,$259.4K
Sunridge,1109.0,sqft,2990.0,2,2.0,1.0,1959.0,No,4,6,Y,N,N,6.0,116800.0
Old Mill District,1517.0,sqft,3389.0,2,1.5,2.5,1940.0,No,1,9,Y,N,N,,$333.3K
Brookhaven,1017.0,sqft,2343.0,2,1.5,1.0,1939.0,Yes,3,8,Y,Y,N,5.0,188200.0
Riverside Park,1472.0,sqft,3355.0,2,1.5,2.0,2007.0,No,4,6,Y,N,N,5.0,297800.0
Sunridge,3533.0,sqft,5989.0,5,3.5,1.5,1961.0,No,3,4,Y,Y,N,5.0,$263.0K
Northgate,175.8,sqm,4130.0,4,3.0,1.0,1956.0,No,5,9,Y,N,N,3.0,173700.0
Sunridge,1612.0,sqft,4751.0,3,3.0,1.0,1926.0,No,2,4,Y,Y,N,5.0,$144.7K
Old Mill District,135.0,sqm,4149.0,2,2.0,1.0,1951.0,No,4,4,Y,N,N,7.0,$361.6K
Brookhaven,2605.0,sqft,8827.0,5,4.5,1.5,1962.0,Yes,4,6,Y,N,N,6.0,621500.0
Riverside Park,260.9,sqm,9352.0,4,2.5,1.0,1991.0,Yes,4,4,Y,Y,N,3.0,423900.0
Riverside Park,2721.0,sqft,9363.0,4,2.5,1.0,2023.0,Yes,2,3,N,N,N,5.0,$499.0K
Cedar Falls,1425.0,sqft,5436.0,2,1.0,2.0,1960.0,No,2,7,N,Y,N,9.0,$188.6K
Harbor Point,1363.0,sqft,4787.0,2,1.5,1.0,1991.0,No,1,9,N,Y,N,3.0,398300.0
Cedar Falls,2063.0,sqft,7182.0,3,3.0,2.5,1988.0,Yes,1,8,N,Y,N,6.0,$276.0K
Cedar Falls,842.0,sqft,3350.0,1,1.5,2.0,1975.0,Yes,3,4,Y,Y,N,4.0,$102.5K
Brookhaven,1977.0,sqft,3396.0,4,2.5,2.0,1981.0,Yes,5,8,Y,Y,N,9.0,$552.1K
Cedar Falls,1460.0,sqft,,2,1.5,1.5,1954.0,No,5,6,Y,N,N,3.0,$179.1K
Cedar Falls,1389.0,sqft,3924.0,2,1.5,2.0,1939.0,No,4,4,Y,Y,N,5.0,143400.0
Cedar Falls,235.7,sqm,7822.0,4,2.0,1.0,1989.0,No,3,3,Y,Y,N,2.0,$305.4K
Cedar Falls,840.0,sqft,3078.0,1,1.0,1.0,2020.0,No,3,10,Y,N,N,5.0,$125.8K
Harbor Point,1330.0,sqft,2858.0,3,2.0,2.0,1998.0,No,4,6,Y,N,N,,406000.0
Maple Grove,1782.0,sqft,3690.0,3,1.0,1.0,2021.0,No,4,4,N,N,N,6.0,273100.0
Northgate,1729.0,sqft,3317.0,2,1.5,2.0,1966.0,No,5,8,N,N,N,7.0,$156.6K
Sunridge,2205.0,sqft,6853.0,3,2.5,1.0,1953.0,Yes,3,10,N,Y,N,6.0,229300.0
Old Mill District,1038.0,sqft,3884.0,2,1.0,2.0,1991.0,No,3,5,Y,N,N,4.0,$222.2K
Cedar Falls,2404.0,sqft,3942.0,4,3.5,2.0,,No,4,5,N,N,N,8.0,$237.1K
Harbor Point,1340.0,sqft,1952.0,2,1.5,1.0,1962.0,No,3,10,Y,Y,N,6.0,370200.0
Maple Grove,2293.0,sqft,8578.0,3,2.0,2.0,1990.0,No,3,5,Y,Y,N,5.0,376900.0
Riverside Park,1167.0,sqft,3992.0,3,2.5,1.0,1930.0,No,2,3,Y,N,N,3.0,$135.0K
Sunridge,2192.0,sqft,3343.0,4,3.0,1.0,1938.0,No,3,8,Y,N,N,2.0,$170.3K
Cedar Falls,2907.0,sqft,7774.0,4,2.0,3.0,1934.0,Yes,5,6,N,Y,N,8.0,$291.9K
Maple Grove,2118.0,sqft,3241.0,3,2.5,1.5,1951.0,No,3,4,N,Y,N,7.0,267400.0
Old Mill District,1606.0,sqft,2844.0,3,2.5,2.0,2020.0,No,2,7,Y,N,N,4.0,$462.7K
Sunridge,2968.0,sqft,8970.0,6,4.0,1.0,1935.0,No,4,3,Y,N,N,5.0,$255.4K
Riverside Park,1904.0,sqft,6936.0,3,2.5,2.0,,Yes,4,10,N,Y,N,4.0,$294.5K
Northgate,1339.0,sqft,2759.0,2,2.0,1.0,1993.0,No,2,6,Y,N,N,8.0,124400.0
Maple Grove,1051.0,sqft,2262.0,1,1.0,2.0,1980.0,No,3,7,Y,Y,N,8.0,188100.0
Brookhaven,1554.0,sqft,2747.0,3,3.0,2.0,2001.0,No,5,4,N,Y,N,7.0,$310.9K
